"","Gender","Age","Location","Education","Major","Title","Industry","Experience","DataScientist","PrimarySkill","skill1"
"265","Male","50-54","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"266","Male","18-21","Canada","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"267","Male","18-21","United States of America","Bachelor’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"268","Male","22-24","Pakistan","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"269","Prefer not to say","22-24","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"270","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"271","Female","45-49","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"272","Male","30-34","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"273","Male","30-34","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"274","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"275","Male","45-49","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"276","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"277","Female","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"278","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"279","Male","25-29","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"280","Prefer not to say","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"281","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"282","Male","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"283","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"284","Male","40-44","Hong Kong (S.A.R.)","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"285","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"286","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"287","Male","35-39","United States of America","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"288","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"289","Male","30-34","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"290","Male","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"291","Male","22-24","Tunisia","Master’s degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"292","Female","22-24","I do not wish to disclose my location","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Research Assistant",NA,NA,NA,NA,NA
"293","Male","25-29","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"294","Female","25-29","I do not wish to disclose my location","Master’s degree","Mathematics or statistics","Student","I am a student","1-2",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"295","Male","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"296","Female","25-29","South Korea","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Data Engineer","Computers/Technology","0-1",NA,NA,NA
"297","Male","18-21","United States of America","Bachelor’s degree","Other","Data Analyst",NA,NA,NA,NA,NA
"298","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"299","Male","22-24","India","Master’s degree","Physics or astronomy","Student","I am a student","0-1",NA,NA,NA
"300","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"301","Male","22-24","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA
"302","Male","22-24","China","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"303","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"304","Female","25-29","United States of America","Master’s degree","Mathematics or statistics","Student",NA,NA,NA,NA,NA
"305","Prefer not to say","35-39","United States of America","Doctoral degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","4-5",NA,NA,"I do not know"
"306","Female","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"307","Male","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"308","Male","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"309","Male","18-21","Hong Kong (S.A.R.)","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"310","Male","22-24","India","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"311","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"312","Male","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","0-1",NA,NA,NA
"313","Female","35-39","United States of America","Master’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","10-15",NA,NA,NA
"314","Prefer not to say","18-21","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"315","Male","45-49","Argentina",NA,NA,NA,NA,NA,NA,NA,NA
"316","Male","30-34","United States of America","Doctoral degree","Physics or astronomy","Other","Academics/Education","0-1",NA,NA,NA
"317","Male","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"318","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,NA
"319","Male","50-54","United States of America","Master’s degree","Mathematics or statistics","Not employed",NA,NA,NA,NA,NA
"320","Male","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"321","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"322","Male","22-24","Colombia","Professional degree",NA,NA,NA,NA,NA,NA,NA
"323","Male","35-39","United States of America","Doctoral degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"324","Male","40-44","South Korea",NA,NA,NA,NA,NA,NA,NA,NA
"325","Male","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Other","Accounting/Finance","2-3",NA,NA,NA
"326","Male","25-29","China","Master’s degree","Mathematics or statistics","Data Scientist","Online Business/Internet-based Sales","0-1",NA,NA,NA
"327","Male","25-29","United States of America","I prefer not to answer",NA,NA,NA,NA,NA,NA,NA
"328","Male","22-24","United States of America","Master’s degree","Mathematics or statistics","Data Scientist","Academics/Education",NA,NA,NA,NA
"329","Male","30-34","Russia",NA,NA,NA,NA,NA,NA,NA,NA
"330","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Software Engineer","Online Service/Internet-based Services","3-4",NA,NA,"No (we do not use ML methods)"
"331","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"332","Female","25-29","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"333","Prefer to self-describe","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"334","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Other","Manufacturing/Fabrication","5-10",NA,NA,NA
"335","Male","18-21","Russia","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"336","Male","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"337","Male","25-29","United States of America","Doctoral degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"338","Male","25-29","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"339","Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"340","Male","18-21","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"341","Male","45-49","United States of America","Master’s degree","Engineering (non-computer focused)","Manager","Manufacturing/Fabrication","10-15",NA,NA,NA
"342","Female","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"343","Male","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"344","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"345","Male","30-34","Bangladesh","I prefer not to answer","Fine arts or performing arts","Not employed",NA,NA,NA,NA,NA
"346","Male","40-44","United States of America","Doctoral degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"347","Male","50-54","Japan",NA,NA,NA,NA,NA,NA,NA,NA
"348","Female","22-24","United States of America","Master’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"349","Prefer not to say","25-29","India","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"350","Male","18-21","China","Bachelor’s degree","Mathematics or statistics","Student","Academics/Education","10-15",NA,NA,NA
"351","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"352","Prefer not to say","35-39","Canada","Professional degree","Mathematics or statistics","Not employed",NA,NA,NA,NA,NA
"353","Female","30-34","United States of America","Doctoral degree","Physics or astronomy","Student","I am a student","0-1",NA,NA,NA
"354","Female","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"355","Female","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"356","Male","25-29","United States of America","Master’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"357","Male","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"358","Male","18-21","Japan","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"359","Male","40-44","South Korea",NA,NA,NA,NA,NA,NA,NA,NA
"360","Male","25-29","Other",NA,NA,NA,NA,NA,NA,NA,NA
"361","Male","35-39","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"362","Female","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"363","Male","25-29","Other","Master’s degree","Engineering (non-computer focused)","Software Engineer",NA,NA,NA,NA,NA
"364","Male","18-21","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"365","Male","22-24","Indonesia","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,NA
"366","Male","25-29","China","Bachelor’s degree","Physics or astronomy","Research Scientist","I am a student","2-3",NA,NA,"No (we do not use ML methods)"
"367","Female","18-21","United States of America","Bachelor’s degree","Fine arts or performing arts","Student",NA,NA,NA,NA,NA
"368","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"369","Female","22-24","United States of America","Master’s degree","Mathematics or statistics","Student","Computers/Technology",NA,NA,NA,NA
"370","Male","22-24","India","Master’s degree","Mathematics or statistics","Student","Computers/Technology",NA,NA,NA,NA
"371","Male","22-24","United States of America","Master’s degree","Other","Student","I am a student","1-2",NA,NA,NA
"372","Male","18-21","India","I prefer not to answer","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"373","Male","22-24","Japan","I prefer not to answer","Physics or astronomy","Student","I am a student","4-5",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"374","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Other","Military/Security/Defense","2-3",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"375","Male","22-24","Australia","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"376","Female","35-39","South Africa",NA,NA,NA,NA,NA,NA,NA,NA
"377","Prefer not to say","22-24","India","I prefer not to answer","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"378","Prefer not to say","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"379","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"380","Male","25-29","South Korea","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"381","Male","30-34","United States of America","No formal education past high school",NA,"Manager",NA,NA,NA,NA,NA
"382","Female","30-34","Other","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","DBA/Database Engineer","Hospitality/Entertainment/Sports",NA,NA,NA,NA
"383","Female","22-24","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA
"384","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"385","Female","25-29","India","Master’s degree","Engineering (non-computer focused)","Consultant","Computers/Technology","5-10",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"386","Male","18-21","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"387","Male","30-34","South Korea",NA,NA,NA,NA,NA,NA,NA,NA
"388","Male","30-34","Canada","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"389","Male","18-21","South Korea","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"No (we do not use ML methods)"
"390","Male","25-29","Indonesia","Master’s degree","Engineering (non-computer focused)","Software Engineer","Retail/Sales","0-1",NA,NA,"No (we do not use ML methods)"
"391","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"392","Male","35-39","China","Doctoral degree","Engineering (non-computer focused)","Data Analyst",NA,NA,NA,NA,NA
"393","Female","40-44","I do not wish to disclose my location","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"394","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Software Engineer","Manufacturing/Fabrication","10-15",NA,NA,NA
"395","Prefer not to say","50-54","United States of America","Master’s degree","Mathematics or statistics","Software Engineer",NA,NA,NA,NA,NA
"396","Male","22-24","United States of America","Bachelor’s degree","Other","Data Scientist","Online Service/Internet-based Services","0-1",NA,NA,"I do not know"
"397","Male","18-21","Brazil","Professional degree",NA,NA,NA,NA,NA,NA,NA
"398","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Product/Project Manager",NA,NA,NA,NA,NA
"399","Male","30-34","Other",NA,NA,NA,NA,NA,NA,NA,NA
"400","Male","22-24","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"401","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"402","Male","22-24","China","Master’s degree","Other","Student","I am a student","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"403","Male","35-39","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"404","Male","35-39","Israel","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Government/Public Service","10-15",NA,NA,"No (we do not use ML methods)"
"405","Male","35-39","India","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","Hospitality/Entertainment/Sports","3-4",NA,NA,NA
"406","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"407","Male","25-29","China","Master’s degree","Environmental science or geology",NA,NA,NA,NA,NA,NA
"408","Prefer not to say","18-21","Mexico","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","2-3",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"409","Female","22-24","Belarus",NA,NA,NA,NA,NA,NA,NA,NA
"410","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","0-1",NA,NA,"No (we do not use ML methods)"
"411","Male","25-29","China","Bachelor’s degree","Physics or astronomy","Data Analyst","Computers/Technology","1-2",NA,NA,NA
"412","Male","60-69","United States of America","Master’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology",NA,NA,NA,NA
"413","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"I do not know"
"414","Female","25-29","China","Professional degree",NA,NA,NA,NA,NA,NA,NA
"415","Male","18-21","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"416","Prefer not to say","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"417","Male","18-21","United States of America","Master’s degree","Mathematics or statistics","Student","I am a student","15-20",NA,NA,"I do not know"
"418","Male","22-24","Japan","Master’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"I do not know"
"419","Male","22-24","Chile",NA,NA,NA,NA,NA,NA,NA,NA
"420","Male","25-29","India","I prefer not to answer",NA,NA,NA,NA,NA,NA,NA
"421","Male","18-21","United States of America","Master’s degree","Other","Student","I am a student","0-1",NA,NA,"I do not know"
"422","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"423","Male","22-24","United States of America","Doctoral degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","0-1",NA,NA,"I do not know"
"424","Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"425","Male","50-54","United States of America","Bachelor’s degree","Mathematics or statistics","Not employed",NA,NA,NA,NA,NA
"426","Female","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"427","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","3-4",NA,NA,"I do not know"
"428","Male","40-44","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"429","Prefer to self-describe","30-34","United States of America","I prefer not to answer","Physics or astronomy","Student",NA,NA,NA,NA,NA
"430","Male","22-24","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"431","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"432","Female","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"433","Female","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"434","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"435","Female","18-21","Viet Nam","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"436","Male","30-34","India","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"437","Male","22-24","France","Master’s degree","Mathematics or statistics","Data Scientist","Hospitality/Entertainment/Sports","0-1",NA,NA,NA
"438","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"439","Male","50-54","Brazil","Doctoral degree","Engineering (non-computer focused)","Research Scientist","Academics/Education","25-30",NA,NA,NA
"440","Female","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"441","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","0-1",NA,NA,NA
"442","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"443","Female","25-29","China","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"444","Male","18-21","China","Doctoral degree","Mathematics or statistics","Research Assistant",NA,NA,NA,NA,NA
"445","Male","25-29","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"446","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"447","Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"448","Male","25-29","India","Master’s degree","Mathematics or statistics","Data Scientist","Retail/Sales","2-3",NA,NA,"I do not know"
"449","Male","70-79","United States of America","Doctoral degree","Mathematics or statistics","Research Scientist","Academics/Education","15-20",NA,NA,"I do not know"
"450","Male","18-21","Russia","Bachelor’s degree","Mathematics or statistics","Data Scientist","I am a student","0-1",NA,NA,"I do not know"
"451","Male","22-24","China","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"452","Male","30-34","United States of America","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"453","Female","25-29","United States of America","Master’s degree","Mathematics or statistics","Data Scientist","Marketing/CRM","0-1",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"454","Female","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"455","Male","18-21","China","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"456","Male","30-34","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Marketing/CRM",NA,NA,NA,NA
"457","Male","22-24","Colombia","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Software Engineer","I am a student","1-2","Probably not",NA,"No (we do not use ML methods)"
"458","Male","30-34","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"459","Male","18-21","China","Master’s degree","Environmental science or geology","Student",NA,NA,NA,NA,NA
"460","Male","60-69","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer",NA,NA,NA,NA,NA
"461","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","Non-profit/Service","2-3",NA,NA,NA
"462","Male","25-29","Canada","Doctoral degree","Engineering (non-computer focused)","Data Scientist","Computers/Technology","2-3",NA,NA,NA
"463","Prefer not to say","45-49","India",NA,NA,NA,NA,NA,NA,NA,NA
"464","Male","22-24","Russia","Master’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"465","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"466","Female","25-29","United States of America","Master’s degree","Mathematics or statistics","Student","Insurance/Risk Assessment","2-3",NA,NA,"No (we do not use ML methods)"
"467","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"468","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"469","Male","22-24","China","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"470","Female","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"471","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"472","Male","25-29","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"473","Male","25-29","China","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"474","Male","30-34","Spain","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"475","Female","22-24","Canada","Bachelor’s degree","Mathematics or statistics","Data Analyst","Academics/Education",NA,NA,NA,NA
"476","Male","40-44","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"477","Female","25-29","I do not wish to disclose my location","Bachelor’s degree","Other","Not employed",NA,NA,NA,NA,NA
"478","Female","18-21","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"479","Female","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"I do not know"
"480","Male","30-34","I do not wish to disclose my location","I prefer not to answer",NA,NA,NA,NA,NA,NA,NA
"481","Male","25-29","Australia",NA,NA,NA,NA,NA,NA,NA,NA
"482","Male","22-24","United States of America","Doctoral degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"483","Male","22-24","India","Master’s degree","Other","Student","Academics/Education","0-1",NA,NA,"I do not know"
"484","Female","30-34","India","Master’s degree","Physics or astronomy","Not employed",NA,NA,NA,NA,NA
"485","Male","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"486","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"487","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"488","Male","25-29","United States of America","Doctoral degree","Mathematics or statistics","Data Scientist","I am a student",NA,NA,NA,NA
"489","Male","22-24","United States of America","Master’s degree","Other","Data Scientist",NA,NA,NA,NA,NA
"490","Female","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"491","Male","18-21","United States of America","Bachelor’s degree","Other","Student","Academics/Education","3-4",NA,NA,NA
"492","Male","25-29","United States of America","Doctoral degree","Mathematics or statistics","Not employed",NA,NA,"Probably yes",NA,NA
"493","Female","30-34","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"494","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","I am a student",NA,NA,NA,NA
"495","Male","30-34","I do not wish to disclose my location","Master’s degree","Engineering (non-computer focused)","Research Assistant","Academics/Education","2-3",NA,NA,"No (we do not use ML methods)"
"496","Male","30-34","India","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"497","Male","22-24","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","2-3",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"498","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst","Computers/Technology","3-4",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"499","Male","30-34","United States of America","Master’s degree","Mathematics or statistics","Data Analyst","Computers/Technology","1-2",NA,NA,"No (we do not use ML methods)"
"500","Female","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","4-5",NA,NA,"I do not know"
"501","Male","30-34","United States of America","Master’s degree","Physics or astronomy","Research Scientist","Academics/Education","2-3",NA,NA,NA
"502","Male","45-49","United States of America","Doctoral degree","Physics or astronomy",NA,NA,NA,NA,NA,NA
"503","Male","50-54","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"504","Male","55-59","United States of America","Master’s degree","Engineering (non-computer focused)","Software Engineer","Other","25-30",NA,NA,"I do not know"
"505","Male","40-44","United States of America","Bachelor’s degree","Mathematics or statistics","Not employed",NA,NA,NA,NA,NA
"506","Male","80+","Other","I prefer not to answer",NA,NA,NA,NA,NA,NA,NA
"507","Male","30-34","Canada","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"508","Male","22-24","Portugal","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"I do not know"
"509","Male","18-21","India","No formal education past high school",NA,"Student","I am a student","1-2",NA,NA,"No (we do not use ML methods)"
"510","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Data Scientist",NA,NA,NA,NA,NA
"511","Male","18-21","Colombia",NA,NA,NA,NA,NA,NA,NA,NA
"512","Male","22-24","United States of America","Master’s degree","Other","Student","Military/Security/Defense","1-2",NA,NA,NA
"513","Male","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"514","Male","25-29","Poland",NA,NA,NA,NA,NA,NA,NA,NA
"515","Female","30-34","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Other","Other","5-10",NA,NA,"No (we do not use ML methods)"
"516","Male","30-34","United States of America","Master’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","2-3",NA,NA,NA
"517","Male","22-24","China","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"518","Female","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"519","Male","25-29","Brazil","Master’s degree","Engineering (non-computer focused)","Student","Academics/Education","0-1",NA,NA,NA
"520","Male","22-24","Canada","Bachelor’s degree","Other","Student","Accounting/Finance","0-1",NA,NA,"I do not know"
"521","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"522","Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"523","Female","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Data Analyst",NA,NA,NA,NA,NA
"524","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"525","Female","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","1-2",NA,NA,"I do not know"
"526","Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Data Engineer",NA,NA,NA,NA,NA
"527","Male","22-24","Other",NA,NA,NA,NA,NA,NA,NA,NA
"528","Male","18-21","China","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"529","Male","22-24","Canada","No formal education past high school",NA,"Student","I am a student","4-5",NA,NA,"I do not know"
"530","Male","22-24","China","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","1-2",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"531","Male","22-24","United States of America","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education","4-5",NA,NA,"No (we do not use ML methods)"
"532","Female","55-59","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Other","Computers/Technology","2-3",NA,NA,"No (we do not use ML methods)"
"533","Male","40-44","China","No formal education past high school",NA,"Software Engineer",NA,NA,NA,NA,NA
